human,hydra,type
KCNA3,t12134aep,many_one
KCNA1,t33172aep,many_one
KCNA2,t33172aep,many_one
KCNA3,t33172aep,many_one
KCNA1,t6191aep,many_one
KCNA2,t6191aep,many_one
KCNA3,t6191aep,many_one
KCNA1,t15717aep,many_one
KCNA2,t15717aep,many_one
KCNA3,t15717aep,many_one
KCNA1,t27633aep,many_one
KCNA2,t27633aep,many_one
KCNA3,t27633aep,many_one
KCNA1,t10009aep,many_one
KCNA2,t10009aep,many_one
KCNA3,t10009aep,many_one
DNAH2,t25458aep,one_one
DNAH2,t23045aep,one_one
DNAH2,t17188aep,one_one
DNAH2,t4020aep,one_one
DNAH2,t13012aep,one_one
ANKRD66,t29920aep,one_one
ANKRD66,t13511aep,one_one
ANKRD66,t8488aep,one_one
SLC22A15,t19412aep,one_one
SLC22A15,t32931aep,one_one
DNAH9,t3479aep,one_one
DNAH9,t14248aep,one_one
DNAH9,t35708aep,one_one
DNAH9,t9934aep,one_one
DNAH9,t17793aep,one_one
DNAH9,t27761aep,one_one
DNAH9,t14249aep,one_one
DDX60,t35608aep,many_one
DDX60L,t35608aep,many_one
DDX60,t8541aep,many_one
DDX60L,t8541aep,many_one
DDX60,t35609aep,many_one
DDX60L,t35609aep,many_one
MYL6B,t34900aep,many_one
MYL6,t34900aep,many_one
MYL1,t34900aep,many_one
MYL4,t34900aep,many_one
MYL3,t34900aep,many_one
MYL6B,t9558aep,many_one
MYL6,t9558aep,many_one
MYL1,t9558aep,many_one
MYL4,t9558aep,many_one
MYL3,t9558aep,many_one
FTMT,t4403aep,many_one
FTH1,t4403aep,many_one
FTH1P19,t4403aep,many_one
FTHL17,t4403aep,many_one
FTL,t4403aep,many_one
FTMT,t14977aep,many_one
FTH1,t14977aep,many_one
FTH1P19,t14977aep,many_one
FTHL17,t14977aep,many_one
FTL,t14977aep,many_one
FTMT,t35773aep,many_one
FTH1,t35773aep,many_one
FTH1P19,t35773aep,many_one
FTHL17,t35773aep,many_one
FTL,t35773aep,many_one
FGFR4,t23041aep,many_one
FGFR1,t23041aep,many_one
FGFR2,t23041aep,many_one
FGFR3,t23041aep,many_one
SLC16A9,t17717aep,many_one
SLC16A14,t17717aep,many_one
SLC16A2,t1616aep,many_one
SLC16A10,t1616aep,many_one
NOS2,t35801aep,one_one
NOS2,t21005aep,one_one
NOS2,t24438aep,one_one
NOS2,t7500aep,one_one
DKK3,t22117aep,one_one
DKK3,t10953aep,one_one
CBWD1,t33942aep,many_one
CBWD3,t33942aep,many_one
CBWD5,t33942aep,many_one
CBWD6,t33942aep,many_one
CBWD2,t33942aep,many_one
CBWD1,t21847aep,many_one
CBWD3,t21847aep,many_one
CBWD5,t21847aep,many_one
CBWD6,t21847aep,many_one
CBWD2,t21847aep,many_one
TRAF3,t9932aep,many_one
TRAF5,t9932aep,many_one
TRAF1,t9932aep,many_one
TRAF2,t9932aep,many_one
KCNMA1,t26251aep,one_one
KCNMA1,t28609aep,one_one
THEM5,t18819aep,many_one
THEM4,t18819aep,many_one
THEM5,t25425aep,many_one
THEM4,t25425aep,many_one
THEM5,t30037aep,many_one
THEM4,t30037aep,many_one
THEM5,t23499aep,many_one
